date,year,month,toa_net_flux_w_m2,decimal_year
2007-07-01,2007,7,93.690000,2007.541667
2007-08-01,2007,8,92.970000,2007.625000
2007-09-01,2007,9,94.670000,2007.708333
2007-10-01,2007,10,99.620000,2007.791667
2007-11-01,2007,11,106.120000,2007.875000
2007-12-01,2007,12,108.900000,2007.958333
2008-01-01,2008,1,106.550000,2008.041667
2008-02-01,2008,2,102.330000,2008.125000
2008-03-01,2008,3,97.730000,2008.208333
2008-04-01,2008,4,97.120000,2008.291667
2008-05-01,2008,5,96.390000,2008.375000
2008-06-01,2008,6,95.710000,2008.458333
2008-07-01,2008,7,93.080000,2008.541667
2008-08-01,2008,8,92.020000,2008.625000
2008-09-01,2008,9,95.040000,2008.708333
2008-10-01,2008,10,99.620000,2008.791667
2008-11-01,2008,11,106.210000,2008.875000
2008-12-01,2008,12,107.080000,2008.958333
2009-01-01,2009,1,105.720000,2009.041667
2009-02-01,2009,2,101.720000,2009.125000
2009-03-01,2009,3,98.790000,2009.208333
2009-04-01,2009,4,96.730000,2009.291667
2009-05-01,2009,5,96.440000,2009.375000
2009-06-01,2009,6,95.220000,2009.458333
2009-07-01,2009,7,93.870000,2009.541667
2009-08-01,2009,8,92.140000,2009.625000
2009-09-01,2009,9,94.950000,2009.708333
2009-10-01,2009,10,100.040000,2009.791667
2009-11-01,2009,11,106.380000,2009.875000
2009-12-01,2009,12,107.920000,2009.958333
2010-01-01,2010,1,106.360000,2010.041667
2010-02-01,2010,2,102.460000,2010.125000
2010-03-01,2010,3,98.890000,2010.208333
2010-04-01,2010,4,97.000000,2010.291667
2010-05-01,2010,5,97.530000,2010.375000
2010-06-01,2010,6,96.520000,2010.458333
2010-07-01,2010,7,94.630000,2010.541667
2010-08-01,2010,8,93.150000,2010.625000
2010-09-01,2010,9,94.530000,2010.708333
2010-10-01,2010,10,100.350000,2010.791667
2010-11-01,2010,11,106.220000,2010.875000
2010-12-01,2010,12,108.160000,2010.958333
2011-01-01,2011,1,106.100000,2011.041667
2011-02-01,2011,2,102.100000,2011.125000
2011-03-01,2011,3,98.220000,2011.208333
2011-04-01,2011,4,97.030000,2011.291667
2011-05-01,2011,5,97.520000,2011.375000
2011-06-01,2011,6,96.920000,2011.458333
2011-07-01,2011,7,93.750000,2011.541667
2011-08-01,2011,8,92.220000,2011.625000
2011-09-01,2011,9,93.840000,2011.708333
2011-10-01,2011,10,99.170000,2011.791667
2011-11-01,2011,11,106.040000,2011.875000
2011-12-01,2011,12,109.320000,2011.958333
2012-01-01,2012,1,105.550000,2012.041667
2012-02-01,2012,2,101.230000,2012.125000
2012-03-01,2012,3,99.150000,2012.208333
2012-04-01,2012,4,97.040000,2012.291667
2012-05-01,2012,5,96.290000,2012.375000
2012-06-01,2012,6,95.160000,2012.458333
2012-07-01,2012,7,93.870000,2012.541667
2012-08-01,2012,8,92.450000,2012.625000
2012-09-01,2012,9,94.210000,2012.708333
2012-10-01,2012,10,98.930000,2012.791667
2012-11-01,2012,11,105.620000,2012.875000
2012-12-01,2012,12,107.670000,2012.958333
2013-01-01,2013,1,106.530000,2013.041667
2013-02-01,2013,2,102.030000,2013.125000
2013-03-01,2013,3,98.520000,2013.208333
2013-04-01,2013,4,97.420000,2013.291667
2013-05-01,2013,5,97.180000,2013.375000
2013-06-01,2013,6,96.610000,2013.458333
2013-07-01,2013,7,94.290000,2013.541667
2013-08-01,2013,8,92.250000,2013.625000
2013-09-01,2013,9,94.550000,2013.708333
2013-10-01,2013,10,99.820000,2013.791667
2013-11-01,2013,11,106.030000,2013.875000
2013-12-01,2013,12,107.660000,2013.958333
2014-01-01,2014,1,105.930000,2014.041667
2014-02-01,2014,2,102.050000,2014.125000
2014-03-01,2014,3,98.190000,2014.208333
2014-04-01,2014,4,96.770000,2014.291667
2014-05-01,2014,5,96.930000,2014.375000
2014-06-01,2014,6,96.340000,2014.458333
2014-07-01,2014,7,94.230000,2014.541667
2014-08-01,2014,8,91.680000,2014.625000
2014-09-01,2014,9,93.880000,2014.708333
2014-10-01,2014,10,99.200000,2014.791667
2014-11-01,2014,11,105.620000,2014.875000
2014-12-01,2014,12,108.320000,2014.958333
2015-01-01,2015,1,105.830000,2015.041667
2015-02-01,2015,2,101.380000,2015.125000
2015-03-01,2015,3,98.570000,2015.208333
2015-04-01,2015,4,96.510000,2015.291667
2015-05-01,2015,5,96.450000,2015.375000
2015-06-01,2015,6,95.820000,2015.458333
2015-07-01,2015,7,93.050000,2015.541667
2015-08-01,2015,8,91.480000,2015.625000
2015-09-01,2015,9,93.020000,2015.708333
2015-10-01,2015,10,98.740000,2015.791667
2015-11-01,2015,11,105.420000,2015.875000
2015-12-01,2015,12,107.400000,2015.958333
2016-01-01,2016,1,105.370000,2016.041667
2016-02-01,2016,2,101.610000,2016.125000
2016-03-01,2016,3,98.340000,2016.208333
2016-04-01,2016,4,95.900000,2016.291667
2016-05-01,2016,5,96.540000,2016.375000
2016-06-01,2016,6,94.700000,2016.458333
2016-07-01,2016,7,93.060000,2016.541667
2016-08-01,2016,8,92.000000,2016.625000
2016-09-01,2016,9,93.560000,2016.708333
2016-10-01,2016,10,99.260000,2016.791667
2016-11-01,2016,11,104.550000,2016.875000
2016-12-01,2016,12,106.990000,2016.958333
2017-01-01,2017,1,103.750000,2017.041667
2017-02-01,2017,2,100.110000,2017.125000
2017-03-01,2017,3,97.690000,2017.208333
2017-04-01,2017,4,95.640000,2017.291667
2017-05-01,2017,5,96.430000,2017.375000
2017-06-01,2017,6,95.180000,2017.458333
