date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2008-04-01,2008,4,2008.291667,-0.260000,-0.438333
2008-05-01,2008,5,2008.375000,0.770000,-0.316667
2008-06-01,2008,6,2008.458333,0.340000,-0.310833
2008-07-01,2008,7,2008.541667,0.540000,-0.246667
2008-08-01,2008,8,2008.625000,1.040000,-0.093333
2008-09-01,2008,9,2008.708333,-0.240000,-0.005833
2008-10-01,2008,10,2008.791667,0.590000,0.079167
2008-11-01,2008,11,2008.875000,-0.500000,0.117500
2008-12-01,2008,12,2008.958333,1.030000,0.307500
2009-01-01,2009,1,2009.041667,0.270000,0.316667
2009-02-01,2009,2,2009.125000,0.420000,0.390000
2009-03-01,2009,3,2009.208333,0.550000,0.379167
2009-04-01,2009,4,2009.291667,-0.160000,0.387500
2009-05-01,2009,5,2009.375000,0.530000,0.367500
2009-06-01,2009,6,2009.458333,1.440000,0.459167
2009-07-01,2009,7,2009.541667,-0.200000,0.397500
2009-08-01,2009,8,2009.625000,-0.130000,0.300000
2009-09-01,2009,9,2009.708333,-0.920000,0.243333
2009-10-01,2009,10,2009.791667,-0.520000,0.150833
2009-11-01,2009,11,2009.875000,-1.080000,0.102500
2009-12-01,2009,12,2009.958333,-0.050000,0.012500
2010-01-01,2010,1,2010.041667,-1.740000,-0.155000
2010-02-01,2010,2,2010.125000,-0.790000,-0.255833
2010-03-01,2010,3,2010.208333,-1.250000,-0.405833
2010-04-01,2010,4,2010.291667,0.030000,-0.390000
2010-05-01,2010,5,2010.375000,-1.010000,-0.518333
2010-06-01,2010,6,2010.458333,-0.760000,-0.701667
2010-07-01,2010,7,2010.541667,-0.720000,-0.745000
2010-08-01,2010,8,2010.625000,-1.140000,-0.829167
2010-09-01,2010,9,2010.708333,-0.480000,-0.792500
2010-10-01,2010,10,2010.791667,-0.550000,-0.795000
2010-11-01,2010,11,2010.875000,-1.360000,-0.818333
2010-12-01,2010,12,2010.958333,-0.650000,-0.868333
2011-01-01,2011,1,2011.041667,0.170000,-0.709167
2011-02-01,2011,2,2011.125000,-0.380000,-0.675000
2011-03-01,2011,3,2011.208333,-0.020000,-0.572500
2011-04-01,2011,4,2011.291667,0.340000,-0.546667
2011-05-01,2011,5,2011.375000,0.660000,-0.407500
2011-06-01,2011,6,2011.458333,-0.520000,-0.387500
2011-07-01,2011,7,2011.541667,-0.350000,-0.356667
2011-08-01,2011,8,2011.625000,-0.480000,-0.301667
2011-09-01,2011,9,2011.708333,-0.890000,-0.335833
2011-10-01,2011,10,2011.791667,1.030000,-0.204167
2011-11-01,2011,11,2011.875000,-0.030000,-0.093333
2011-12-01,2011,12,2011.958333,-1.510000,-0.165000
2012-01-01,2012,1,2012.041667,0.340000,-0.150833
2012-02-01,2012,2,2012.125000,1.800000,0.030833
2012-03-01,2012,3,2012.208333,-0.180000,0.017500
2012-04-01,2012,4,2012.291667,0.520000,0.032500
2012-05-01,2012,5,2012.375000,0.730000,0.038333
2012-06-01,2012,6,2012.458333,0.230000,0.100833
2012-07-01,2012,7,2012.541667,0.430000,0.165833
2012-08-01,2012,8,2012.625000,0.380000,0.237500
2012-09-01,2012,9,2012.708333,-0.190000,0.295833
2012-10-01,2012,10,2012.791667,0.550000,0.255833
2012-11-01,2012,11,2012.875000,0.550000,0.304167
2012-12-01,2012,12,2012.958333,0.750000,0.492500
2013-01-01,2013,1,2013.041667,-1.630000,0.328333
2013-02-01,2013,2,2013.125000,-0.390000,0.145833
2013-03-01,2013,3,2013.208333,0.460000,0.199167
2013-04-01,2013,4,2013.291667,-0.750000,0.093333
2013-05-01,2013,5,2013.375000,0.130000,0.043333
2013-06-01,2013,6,2013.458333,-0.630000,-0.028333
2013-07-01,2013,7,2013.541667,0.270000,-0.041667
2013-08-01,2013,8,2013.625000,-0.030000,-0.075833
2013-09-01,2013,9,2013.708333,-0.320000,-0.086667
2013-10-01,2013,10,2013.791667,-0.500000,-0.174167
2013-11-01,2013,11,2013.875000,-0.140000,-0.231667
2013-12-01,2013,12,2013.958333,-0.110000,-0.303333
2014-01-01,2014,1,2014.041667,-0.560000,-0.214167
2014-02-01,2014,2,2014.125000,-0.420000,-0.216667
2014-03-01,2014,3,2014.208333,0.170000,-0.240833
2014-04-01,2014,4,2014.291667,0.350000,-0.149167
2014-05-01,2014,5,2014.375000,0.630000,-0.107500
2014-06-01,2014,6,2014.458333,-0.600000,-0.105000
2014-07-01,2014,7,2014.541667,-0.750000,-0.190000
2014-08-01,2014,8,2014.625000,0.690000,-0.130000
2014-09-01,2014,9,2014.708333,0.290000,-0.079167
2014-10-01,2014,10,2014.791667,0.160000,-0.024167
2014-11-01,2014,11,2014.875000,0.080000,-0.005833
2014-12-01,2014,12,2014.958333,-0.460000,-0.035000
2015-01-01,2015,1,2015.041667,-0.990000,-0.070833
2015-02-01,2015,2,2015.125000,0.340000,-0.007500
2015-03-01,2015,3,2015.208333,0.220000,-0.003333
2015-04-01,2015,4,2015.291667,0.260000,-0.010833
2015-05-01,2015,5,2015.375000,0.630000,-0.010833
2015-06-01,2015,6,2015.458333,0.070000,0.045000
2015-07-01,2015,7,2015.541667,0.580000,0.155833
2015-08-01,2015,8,2015.625000,0.690000,0.155833
2015-09-01,2015,9,2015.708333,0.680000,0.188333
2015-10-01,2015,10,2015.791667,0.230000,0.194167
2015-11-01,2015,11,2015.875000,-0.110000,0.178333
2015-12-01,2015,12,2015.958333,-0.190000,0.200833
2016-01-01,2016,1,2016.041667,-0.410000,0.249167
2016-02-01,2016,2,2016.125000,-1.560000,0.090833
2016-03-01,2016,3,2016.208333,-0.560000,0.025833
2016-04-01,2016,4,2016.291667,-0.570000,-0.043333
2016-05-01,2016,5,2016.375000,0.040000,-0.092500
2016-06-01,2016,6,2016.458333,1.440000,0.021667
2016-07-01,2016,7,2016.541667,0.440000,0.010000
2016-08-01,2016,8,2016.625000,0.270000,-0.025000
2016-09-01,2016,9,2016.708333,0.230000,-0.062500
2016-10-01,2016,10,2016.791667,-0.020000,-0.083333
2016-11-01,2016,11,2016.875000,0.800000,-0.007500
2016-12-01,2016,12,2016.958333,0.560000,0.055000
2017-01-01,2017,1,2017.041667,0.870000,0.161667
2017-02-01,2017,2,2017.125000,0.840000,0.361667
2017-03-01,2017,3,2017.208333,0.370000,0.439167
2017-04-01,2017,4,2017.291667,-0.120000,0.476667
2017-05-01,2017,5,2017.375000,-0.280000,0.450000
2017-06-01,2017,6,2017.458333,0.530000,0.374167
2017-07-01,2017,7,2017.541667,0.530000,0.381667
2017-08-01,2017,8,2017.625000,-0.170000,0.345000
2017-09-01,2017,9,2017.708333,-0.580000,0.277500
2017-10-01,2017,10,2017.791667,-0.700000,0.220833
2017-11-01,2017,11,2017.875000,-0.010000,0.153333
2017-12-01,2017,12,2017.958333,-0.610000,0.055833
2018-01-01,2018,1,2018.041667,0.450000,0.020833
2018-02-01,2018,2,2018.125000,0.290000,-0.025000
2018-03-01,2018,3,2018.208333,-0.170000,-0.070000
2018-04-01,2018,4,2018.291667,0.940000,0.018333
2018-05-01,2018,5,2018.375000,0.520000,0.085000
2018-06-01,2018,6,2018.458333,-0.580000,-0.007500
2018-07-01,2018,7,2018.541667,0.090000,-0.044167
2018-08-01,2018,8,2018.625000,0.100000,-0.021667
2018-09-01,2018,9,2018.708333,0.890000,0.100833
2018-10-01,2018,10,2018.791667,0.920000,0.235833
2018-11-01,2018,11,2018.875000,1.100000,0.328333
2018-12-01,2018,12,2018.958333,1.160000,0.475833
2019-01-01,2019,1,2019.041667,0.260000,0.460000
2019-02-01,2019,2,2019.125000,0.580000,0.484167
2019-03-01,2019,3,2019.208333,0.470000,0.537500
2019-04-01,2019,4,2019.291667,0.140000,0.470833
2019-05-01,2019,5,2019.375000,0.520000,0.470833
2019-06-01,2019,6,2019.458333,0.570000,0.566667
2019-07-01,2019,7,2019.541667,0.460000,0.597500
