date,year,month,toa_net_flux_w_m2,decimal_year
2011-09-01,2011,9,243.790000,2011.708333
2011-10-01,2011,10,239.860000,2011.791667
2011-11-01,2011,11,237.640000,2011.875000
2011-12-01,2011,12,237.050000,2011.958333
2012-01-01,2012,1,237.160000,2012.041667
2012-02-01,2012,2,236.680000,2012.125000
2012-03-01,2012,3,237.640000,2012.208333
2012-04-01,2012,4,238.080000,2012.291667
2012-05-01,2012,5,240.620000,2012.375000
2012-06-01,2012,6,243.340000,2012.458333
2012-07-01,2012,7,243.680000,2012.541667
2012-08-01,2012,8,243.960000,2012.625000
2012-09-01,2012,9,242.980000,2012.708333
2012-10-01,2012,10,240.760000,2012.791667
2012-11-01,2012,11,237.590000,2012.875000
2012-12-01,2012,12,236.450000,2012.958333
2013-01-01,2013,1,238.060000,2013.041667
2013-02-01,2013,2,238.000000,2013.125000
2013-03-01,2013,3,237.670000,2013.208333
2013-04-01,2013,4,238.970000,2013.291667
2013-05-01,2013,5,240.410000,2013.375000
2013-06-01,2013,6,242.820000,2013.458333
2013-07-01,2013,7,243.560000,2013.541667
2013-08-01,2013,8,244.560000,2013.625000
2013-09-01,2013,9,242.740000,2013.708333
2013-10-01,2013,10,240.860000,2013.791667
2013-11-01,2013,11,237.790000,2013.875000
2013-12-01,2013,12,237.320000,2013.958333
2014-01-01,2014,1,237.600000,2014.041667
2014-02-01,2014,2,238.000000,2014.125000
2014-03-01,2014,3,238.480000,2014.208333
2014-04-01,2014,4,238.700000,2014.291667
2014-05-01,2014,5,240.250000,2014.375000
2014-06-01,2014,6,243.090000,2014.458333
2014-07-01,2014,7,244.600000,2014.541667
2014-08-01,2014,8,244.400000,2014.625000
2014-09-01,2014,9,242.740000,2014.708333
2014-10-01,2014,10,240.740000,2014.791667
2014-11-01,2014,11,238.020000,2014.875000
2014-12-01,2014,12,237.020000,2014.958333
2015-01-01,2015,1,238.270000,2015.041667
2015-02-01,2015,2,238.200000,2015.125000
2015-03-01,2015,3,238.120000,2015.208333
2015-04-01,2015,4,239.150000,2015.291667
2015-05-01,2015,5,240.780000,2015.375000
2015-06-01,2015,6,242.940000,2015.458333
2015-07-01,2015,7,244.490000,2015.541667
2015-08-01,2015,8,244.500000,2015.625000
2015-09-01,2015,9,243.090000,2015.708333
2015-10-01,2015,10,241.150000,2015.791667
2015-11-01,2015,11,238.360000,2015.875000
2015-12-01,2015,12,237.630000,2015.958333
2016-01-01,2016,1,238.110000,2016.041667
2016-02-01,2016,2,239.690000,2016.125000
2016-03-01,2016,3,238.850000,2016.208333
2016-04-01,2016,4,240.250000,2016.291667
2016-05-01,2016,5,241.050000,2016.375000
2016-06-01,2016,6,242.580000,2016.458333
2016-07-01,2016,7,244.510000,2016.541667
2016-08-01,2016,8,244.440000,2016.625000
2016-09-01,2016,9,243.120000,2016.708333
2016-10-01,2016,10,240.950000,2016.791667
2016-11-01,2016,11,238.340000,2016.875000
2016-12-01,2016,12,237.230000,2016.958333
2017-01-01,2017,1,238.290000,2017.041667
2017-02-01,2017,2,238.640000,2017.125000
2017-03-01,2017,3,238.510000,2017.208333
2017-04-01,2017,4,240.100000,2017.291667
2017-05-01,2017,5,241.500000,2017.375000
2017-06-01,2017,6,242.990000,2017.458333
2017-07-01,2017,7,244.690000,2017.541667
2017-08-01,2017,8,244.270000,2017.625000
