Year,Cumulative CO₂ emissions,GtCO2,Year63,GtC
1922,110057050000,110.057050,1922.100000,30.015559
1923,113760040000,113.760040,1923.100000,31.025465
1924,117476180000,117.476180,1924.100000,32.038958
1925,121216820000,121.216820,1925.100000,33.059133
1926,124894224000,124.894224,1926.100000,34.062061
1927,128907170000,128.907170,1927.100000,35.156501
1928,132903480000,132.903480,1928.100000,36.246404
1929,137191694000,137.191694,1929.100000,37.415917
1930,141149780000,141.149780,1930.100000,38.495395
1931,144689100000,144.689100,1931.100000,39.460664
1932,147881690000,147.881690,1932.100000,40.331370
1933,151244370000,151.244370,1933.100000,41.248465
1934,154900560000,154.900560,1934.100000,42.245607
1935,158736300000,158.736300,1935.100000,43.291718
1936,162944240000,162.944240,1936.100000,44.439338
1937,167440940000,167.440940,1937.100000,45.665711
1938,171670570000,171.670570,1938.100000,46.819246
1939,176140700000,176.140700,1939.100000,48.038373
1940,181025360000,181.025360,1940.100000,49.370553
1941,186024440000,186.024440,1941.100000,50.733938
1942,191006970000,191.006970,1942.100000,52.092810
1943,196082240000,196.082240,1943.100000,53.476975
1944,201244720000,201.244720,1944.100000,54.884924
1945,205534040000,205.534040,1945.100000,56.054738
1946,210142580000,210.142580,1946.100000,57.311613
1947,215307780000,215.307780,1947.100000,58.720304
1948,220755670000,220.755670,1948.100000,60.206092
1949,225959700000,225.959700,1949.100000,61.625373
1950,231890110000,231.890110,1950.100000,63.242757
1951,238271760000,238.271760,1951.100000,64.983207
1952,244739460000,244.739460,1952.100000,66.747125
1953,251390500000,251.390500,1953.100000,68.561045
1954,258180240000,258.180240,1954.100000,70.412793
1955,265624340000,265.624340,1955.100000,72.443002
1956,273550600000,273.550600,1956.100000,74.604709
1957,281736580000,281.736580,1957.100000,76.837249
1958,290154100000,290.154100,1958.100000,79.132936
1959,299009200000,299.009200,1959.100000,81.547964
1960,308396160000,308.396160,1960.100000,84.108044
1961,317811160000,317.811160,1961.100000,86.675771
1962,327558400000,327.558400,1962.100000,89.334109
1963,337825170000,337.825170,1963.100000,92.134137
1964,348649650000,348.649650,1964.100000,95.086268
1965,359960250000,359.960250,1965.100000,98.170977
1966,371822900000,371.822900,1966.100000,101.406245
1967,384060230000,384.060230,1967.100000,104.743699
1968,396965500000,396.965500,1968.100000,108.263318
1969,410727320000,410.727320,1969.100000,112.016542
1970,425626470000,425.626470,1970.100000,116.079946
1971,441130320000,441.130320,1971.100000,120.308269
1972,457354900000,457.354900,1972.100000,124.733155
1973,474432180000,474.432180,1973.100000,129.390595
1974,491430100000,491.430100,1974.100000,134.026391
1975,508418560000,508.418560,1975.100000,138.659607
1976,526281050000,526.281050,1976.100000,143.531195
1977,544639100000,544.639100,1977.100000,148.537936
1978,563663860000,563.663860,1978.100000,153.726507
1979,583172400000,583.172400,1979.100000,159.047018
1980,602582200000,602.582200,1980.100000,164.340600
1981,621461960000,621.461960,1981.100000,169.489625
1982,640191700000,640.191700,1982.100000,174.597736
1983,659093500000,659.093500,1983.100000,179.752773
1984,678550770000,678.550770,1984.100000,185.059301
1985,698695600000,698.695600,1985.100000,190.553345
1986,719133700000,719.133700,1986.100000,196.127373
1987,740239900000,740.239900,1987.100000,201.883609
1988,762158600000,762.158600,1988.100000,207.861436
1989,784358830000,784.358830,1989.100000,213.916045
1990,807091000000,807.091000,1990.100000,220.115727
1991,830296560000,830.296560,1991.100000,226.444516
1992,852816950000,852.816950,1992.100000,232.586441
1993,875566860000,875.566860,1993.100000,238.790962
1994,898541400000,898.541400,1994.100000,245.056745
1995,922058100000,922.058100,1995.100000,251.470391
1996,946291540000,946.291540,1996.100000,258.079511
1997,970671900000,970.671900,1997.100000,264.728700
1998,994967600000,994.967600,1998.100000,271.354800
1999,1019805400000,1019.805400,1999.100000,278.128745
2000,1045316800000,1045.316800,2000.100000,285.086400
2001,1071009800000,1071.009800,2001.100000,292.093582
2002,1097275150000,1097.275150,2002.100000,299.256859
2003,1124927900000,1124.927900,2003.100000,306.798518
2004,1153537900000,1153.537900,2004.100000,314.601245
2005,1183136900000,1183.136900,2005.100000,322.673700
2006,1213731000000,1213.731000,2006.100000,331.017545
2007,1245230300000,1245.230300,2007.100000,339.608264
2008,1277279900000,1277.279900,2008.100000,348.349064
2009,1308793000000,1308.793000,2009.100000,356.943545
