date,year,month,toa_net_flux_w_m2,decimal_year
2006-08-01,2006,8,0.600000,2006.625000
2006-09-01,2006,9,0.040000,2006.708333
2006-10-01,2006,10,1.220000,2006.791667
2006-11-01,2006,11,-0.340000,2006.875000
2006-12-01,2006,12,0.270000,2006.958333
2007-01-01,2007,1,0.600000,2007.041667
2007-02-01,2007,2,0.040000,2007.125000
2007-03-01,2007,3,0.510000,2007.208333
2007-04-01,2007,4,-0.100000,2007.291667
2007-05-01,2007,5,0.450000,2007.375000
2007-06-01,2007,6,0.370000,2007.458333
2007-07-01,2007,7,0.150000,2007.541667
2007-08-01,2007,8,0.780000,2007.625000
2007-09-01,2007,9,0.850000,2007.708333
2007-10-01,2007,10,0.080000,2007.791667
2007-11-01,2007,11,0.730000,2007.875000
2007-12-01,2007,12,1.370000,2007.958333
2008-01-01,2008,1,1.160000,2008.041667
2008-02-01,2008,2,0.870000,2008.125000
2008-03-01,2008,3,-0.570000,2008.208333
2008-04-01,2008,4,0.490000,2008.291667
2008-05-01,2008,5,-0.450000,2008.375000
2008-06-01,2008,6,0.020000,2008.458333
2008-07-01,2008,7,-0.470000,2008.541667
2008-08-01,2008,8,-0.160000,2008.625000
2008-09-01,2008,9,1.220000,2008.708333
2008-10-01,2008,10,0.080000,2008.791667
2008-11-01,2008,11,0.820000,2008.875000
2008-12-01,2008,12,-0.450000,2008.958333
2009-01-01,2009,1,0.330000,2009.041667
2009-02-01,2009,2,0.270000,2009.125000
2009-03-01,2009,3,0.490000,2009.208333
2009-04-01,2009,4,0.090000,2009.291667
2009-05-01,2009,5,-0.400000,2009.375000
2009-06-01,2009,6,-0.470000,2009.458333
2009-07-01,2009,7,0.320000,2009.541667
2009-08-01,2009,8,-0.050000,2009.625000
2009-09-01,2009,9,1.130000,2009.708333
2009-10-01,2009,10,0.500000,2009.791667
2009-11-01,2009,11,0.990000,2009.875000
2009-12-01,2009,12,0.400000,2009.958333
2010-01-01,2010,1,0.970000,2010.041667
2010-02-01,2010,2,1.000000,2010.125000
2010-03-01,2010,3,0.590000,2010.208333
2010-04-01,2010,4,0.370000,2010.291667
2010-05-01,2010,5,0.690000,2010.375000
2010-06-01,2010,6,0.830000,2010.458333
2010-07-01,2010,7,1.090000,2010.541667
2010-08-01,2010,8,0.960000,2010.625000
2010-09-01,2010,9,0.710000,2010.708333
2010-10-01,2010,10,0.810000,2010.791667
2010-11-01,2010,11,0.830000,2010.875000
2010-12-01,2010,12,0.630000,2010.958333
2011-01-01,2011,1,0.710000,2011.041667
2011-02-01,2011,2,0.640000,2011.125000
2011-03-01,2011,3,-0.080000,2011.208333
2011-04-01,2011,4,0.390000,2011.291667
2011-05-01,2011,5,0.690000,2011.375000
2011-06-01,2011,6,1.240000,2011.458333
2011-07-01,2011,7,0.200000,2011.541667
2011-08-01,2011,8,0.040000,2011.625000
2011-09-01,2011,9,0.020000,2011.708333
2011-10-01,2011,10,-0.370000,2011.791667
